方法,特征名称,真实均值,生成均值,均值相对误差_%,真实标准差,生成标准差,标准差相对误差_%,JS散度,Wasserstein距离,短名称
VAE残差扩充,二倍频能量占比,0.0026139219102549994,0.0025256657523372696,3.3763884658419703,0.0012685707346363454,0.001265015191248134,0.28027947424057165,0.013265216840522707,9.873235125944364e-05,VAE
VAE残差扩充,三四倍频能量占比,0.4978631638237974,0.4959693445833688,0.3803895082093466,0.24627859907819133,0.24368090613301907,1.0547781881514462,0.016239582892823304,0.005989439188068548,VAE
普通WGAN-GP,均方根_RMS,0.019871395276507355,0.018766000345754697,5.562744413845295,0.006194364820310306,0.006336426793686578,2.293406628029731,0.31449685199901567,0.0016741409384670057,WGAN-GP
普通WGAN-GP,峰值_Peak,0.06484540053915322,0.054746278848622806,15.57415268686156,0.013322823315486577,0.00790699136262147,40.65078267729622,0.2288169874609554,0.010099121690530411,WGAN-GP
普通WGAN-GP,峰峰值_PeakToPeak,0.12137443612394737,0.10341414568982037,14.797424406271192,0.024503759509958648,0.015198083155389102,37.976524991635806,0.24023895610517895,0.017960290434127002,WGAN-GP
普通WGAN-GP,偏度_Skewness,-0.11217979618308442,-0.11511649867851496,2.617853299190777,0.11784358095383264,0.06907563397275189,41.383626147420486,0.11017119712724857,0.03667426106396497,WGAN-GP
普通WGAN-GP,峭度_Kurtosis,2.676887864099745,2.5418525618785845,5.044488565699526,0.34885109577561985,0.39566336170661837,13.418982052151518,0.11399378151024425,0.1357982146371271,WGAN-GP
普通WGAN-GP,峰值因子_CrestFactor,3.376791061653246,3.092396358186123,8.422040282462776,0.4805442385290546,0.5811047533895805,20.92638029916501,0.07928451119354578,0.28439470346712303,WGAN-GP
普通WGAN-GP,频率重心_Hz,1096.0552237507045,1096.6993831729633,0.05877070865594389,353.53888036796917,436.7417271128823,23.534284732223504,0.2425296313907389,116.47603060504755,WGAN-GP
普通WGAN-GP,0到1kHz能量占比,0.6599279432157471,0.6614497032481643,0.23059487752550145,0.1635673172604823,0.19415395988647735,18.69972751163888,0.23741544836024933,0.045584070049268954,WGAN-GP
普通WGAN-GP,1到3kHz能量占比,0.250237199148208,0.24984021010656093,0.15864509473284896,0.13438672206315216,0.1525493662060247,13.515207353746025,0.20283672068131733,0.03359499912845549,WGAN-GP
普通WGAN-GP,3到5kHz能量占比,0.08979808398546973,0.08818544163758027,1.7958538493231642,0.03479106707298746,0.04277469507900184,22.94735021790571,0.13281307486934835,0.00918421136985564,WGAN-GP
普通WGAN-GP,一倍频能量占比,0.0923893787756238,0.06901431937841619,25.30059159042849,0.042951187805842804,0.03813862999305545,11.20471413836112,0.30279777487375154,0.02389053961895924,WGAN-GP
普通WGAN-GP,二倍频能量占比,0.0026139219102549994,0.002200807540441461,15.804388342083003,0.0012685707346363454,0.0018183974019117945,43.34221591511355,0.12714731838923196,0.0007281622519652038,WGAN-GP
普通WGAN-GP,三四倍频能量占比,0.4978631638237974,0.5324345977735819,6.943963012686457,0.24627859907819133,0.25620075757442756,4.02883504020816,0.3305013863266754,0.06728080282881771,WGAN-GP
残差特征约束WGAN-GP,均方根_RMS,0.019871395276507355,0.019874741594261253,0.016839873130021915,0.006194364820310306,0.00619694958444294,0.041727670345511406,0.00011379326320812234,4.102907998045693e-06,残差特征WGAN
残差特征约束WGAN-GP,峰值_Peak,0.06484540053915322,0.06484680516135378,0.0021661092211090614,0.013322823315486577,0.01331153339717509,0.08474118468204928,0.0037951928461867793,8.320572859642843e-05,残差特征WGAN
残差特征约束WGAN-GP,峰峰值_PeakToPeak,0.12137443612394737,0.12139503308758566,0.016969770814909167,0.024503759509958648,0.02451807079957872,0.058404464889031144,0.0022920941383350393,0.00010802029266117086,残差特征WGAN
残差特征约束WGAN-GP,偏度_Skewness,-0.11217979618308442,-0.11209139239762025,0.07880544311125166,0.11784358095383264,0.11784855116134517,0.004217631093909952,0.001192034662599158,0.0003852973155915217,残差特征WGAN
残差特征约束WGAN-GP,峭度_Kurtosis,2.676887864099745,2.677112121216074,0.008377531212135097,0.34885109577561985,0.3485422029047464,0.08854576483005451,0.0011664158906249434,0.0009500961260014518,残差特征WGAN
残差特征约束WGAN-GP,峰值因子_CrestFactor,3.376791061653246,3.376564920299624,0.006696930591582778,0.4805442385290546,0.48100015090370757,0.09487417350951427,0.002611873551722394,0.003220139414349994,残差特征WGAN
残差特征约束WGAN-GP,频率重心_Hz,1096.0552237507045,1096.481038586486,0.03884976108451234,353.53888036796917,353.40969068037793,0.03654186138078295,0.0003439309534584152,0.5243735988950071,残差特征WGAN
残差特征约束WGAN-GP,0到1kHz能量占比,0.6599279432157471,0.6598195772434564,0.016420879492156887,0.1635673172604823,0.16355097400532187,0.00999176084443317,0.00029167977940533924,0.0001667400167023877,残差特征WGAN
残差特征约束WGAN-GP,1到3kHz能量占比,0.250237199148208,0.2502455933708676,0.003354506319651911,0.13438672206315216,0.13439839311099946,0.008684673357631957,0.0001022677431036468,0.00012517789589990043,残差特征WGAN
残差特征约束WGAN-GP,3到5kHz能量占比,0.08979808398546973,0.08987379124236612,0.08430832099690956,0.03479106707298746,0.03478556973492624,0.015801004463379315,0.0009157404821908655,0.00010109744018705437,残差特征WGAN
残差特征约束WGAN-GP,一倍频能量占比,0.0923893787756238,0.09235793567942147,0.034033236957196164,0.042951187805842804,0.042941278283058916,0.023071591939325297,0.0003294523151509849,5.967375147076407e-05,残差特征WGAN
残差特征约束WGAN-GP,二倍频能量占比,0.0026139219102549994,0.0026125600524161347,0.05210017303886583,0.0012685707346363454,0.0012675526337246584,0.08025574633615298,0.0011601665033825516,4.576821904842829e-06,残差特征WGAN
残差特征约束WGAN-GP,三四倍频能量占比,0.4978631638237974,0.49770433646024026,0.031901810597308955,0.24627859907819133,0.24616156419081725,0.04752133876498387,6.917409036153507e-05,0.00020866379363703423,残差特征WGAN
